date	Germany	Spain	United Kingdom
19910101	920.491	10.553	145
19920101	1207.602	18.219	113
19930101	986.872	15.361	118
19940101	773.97	18.551	132
19950101	792.701	19.538	150
19960101	707.954	19.538	164
19970101	615.298	35.616	182
19980101	605.5	57.195	214
19990101	673.873	99.122	239.479
20000101	648.846	330.881	260.424
20010101	685.259	394.048	262.239
20020101	658.341	443.085	288.77
20030101	601.759	429.524	327.405
20040101	602.182	645.844	434.322
20050101	579.301	682.711	405.111
20060101	558.467	802.971	451.702
20070101	574.752	920.534	455
20080101	573.815	692.228	456
20090101	606.314	469.342	430
20100101	683.529	431.334	459
20110101	841.695	416.282	453
20120101	965.908	336.11	383
20130101	1108	307	406